state,county,forecast
alabama,de kalb,0.328586612494018
arizona,cochise,0.439770919577504
arizona,coconino,0.43069809367259
arizona,maricopa,0.437682808210735
arizona,mohave,0.426494647235672
arizona,navajo,0.427816680848197
arizona,pima,0.432545292108556
arizona,pinal,0.421849600629878
arizona,yavapai,0.43251004277878
arizona,yuma,0.435089696038403
california,alameda,0.551486878758039
california,colusa,0.512872191814663
california,contra costa,0.551721728061145
california,el dorado,0.540447136468357
california,fresno,0.539890426861598
california,imperial,0.53759483558139
california,kern,0.542542120416439
california,kings,0.536775061996731
california,los angeles,0.550397370145173
california,madera,0.528543930308504
california,marin,0.55979751173111
california,mendocino,0.531395137826072
california,merced,0.537870292047767
california,monterey,0.543635859863062
california,napa,0.540956714154872
california,placer,0.546296428135972
california,riverside,0.544499094658486
california,sacramento,0.542565923951302
california,san benito,0.52198744610753
california,san bernardino,0.542626536399077
california,san diego,0.547419244233067
california,san francisco,0.565091594749251
california,san joaquin,0.542378949792552
california,san luis obispo,0.542669255125701
california,san mateo,0.551483004428511
california,santa barbara,0.541936132457939
california,santa clara,0.549951670178799
california,santa cruz,0.544037220911567
california,solano,0.541264766873187
california,sonoma,0.541230129232759
california,stanislaus,0.541041720701312
california,sutter,0.539453023769786
california,tulare,0.530147438909485
california,tuolumne,0.526359621529851
california,ventura,0.549767384104914
california,yolo,0.52927921124957
colorado,alamosa,0.459256148696567
colorado,arapahoe,0.487076866238045
colorado,boulder,0.482332331866631
colorado,broomfield,0.48631749477951
colorado,denver,0.478627946541991
colorado,el paso,0.482585741030894
colorado,la plata,0.473498834442133
colorado,larimer,0.476460109199071
colorado,mesa,0.474438223961598
colorado,montezuma,0.463202479442077
colorado,montrose,0.475847379444376
colorado,pueblo,0.475901448047897
colorado,weld,0.48042320642266
georgia,de kalb,0.440377274284221
illinois,de kalb,0.481644222866184
illinois,du page,0.500094956263617
indiana,bartholomew,0.368657366457964
indiana,daviess,0.35429697067721
indiana,de kalb,0.357487912854834
indiana,dearborn,0.359645951225116
indiana,dubois,0.36813634389125
indiana,elkhart,0.366959547054475
indiana,hendricks,0.363539331434564
indiana,huntington,0.361349372766264
indiana,jennings,0.355280193482798
indiana,kosciusko,0.361175517764637
indiana,la porte,0.366234821265457
indiana,porter,0.363772672307705
indiana,posey,0.356137694914615
indiana,ripley,0.360637274996971
indiana,rush,0.356405331072331
indiana,st joseph,0.37228310173069
indiana,tippecanoe,0.371069979832643
indiana,vanderburgh,0.372038207800666
indiana,vigo,0.370208746532023
indiana,warrick,0.356315400714077
indiana,whitley,0.355964695621508
iowa,black hawk,0.395839108866479
iowa,cerro gordo,0.393989657501264
iowa,des moines,0.398516430283765
iowa,dickinson,0.394001593355394
iowa,dubuque,0.398449154470225
iowa,linn,0.396302398465297
iowa,muscatine,0.387336739687468
iowa,story,0.394759582526229
iowa,wapello,0.387665793068014
iowa,winneshiek,0.38434376532316
iowa,woodbury,0.401705231773641
kentucky,barren,0.330801039472129
kentucky,bell,0.327773019653506
kentucky,bourbon,0.322961044966666
kentucky,boyd,0.330978114279379
kentucky,boyle,0.331759592177964
kentucky,bullitt,0.324855345822103
kentucky,calloway,0.330993228213001
kentucky,daviess,0.331124795628183
kentucky,fleming,0.328456336063844
kentucky,graves,0.322579975318791
kentucky,greenup,0.325045932080762
kentucky,hopkins,0.333343774098588
kentucky,jessamine,0.330912895853349
kentucky,kenton,0.364875692610946
kentucky,mccracken,0.334519443172917
kentucky,meade,0.321502513796248
kentucky,muhlenberg,0.324654648125461
kentucky,oldham,0.323385147333728
kentucky,simpson,0.321595595689929
maryland,prince georges,0.557390056817318
maryland,st marys,0.545033952575394
michigan,allegan,0.430873583760272
michigan,alpena,0.418001187487792
michigan,arenac,0.419955412456831
michigan,branch,0.42423646023193
michigan,delta,0.429951063305064
michigan,dickinson,0.421222591348463
michigan,eaton,0.425347607618253
michigan,emmet,0.429679393676166
michigan,genesee,0.424439140558637
michigan,grand traverse,0.430023866362287
michigan,gratiot,0.42084206989953
michigan,hillsdale,0.422788917263047
michigan,houghton,0.424424086885399
michigan,ingham,0.447271881659969
michigan,isabella,0.423294920520453
michigan,kalamazoo,0.437201382302152
michigan,kalkaska,0.419489484325221
michigan,lapeer,0.422601919555589
michigan,lenawee,0.425920189091781
michigan,macomb,0.430131498001656
michigan,midland,0.423892633201588
michigan,missaukee,0.423981815594189
michigan,montcalm,0.422274955992995
michigan,muskegon,0.431569832500946
michigan,newaygo,0.423451609473543
michigan,oakland,0.43379158972588
michigan,otsego,0.42223946303475
michigan,roscommon,0.421255335895628
michigan,saginaw,0.424584159002473
michigan,sanilac,0.42050642220047
michigan,shiawassee,0.426186521833532
michigan,st joseph,0.42216155858
michigan,tuscola,0.425565061936916
michigan,washtenaw,0.433970469083656
michigan,wexford,0.423952975523608
minnesota,aitkin,0.437225829270289
minnesota,anoka,0.452052732059423
minnesota,becker,0.443815124033562
minnesota,beltrami,0.445950987468965
minnesota,blue earth,0.450147489781714
minnesota,carver,0.441454886690545
minnesota,crow wing,0.449977366946731
minnesota,dakota,0.459311885671891
minnesota,fillmore,0.439385047893993
minnesota,freeborn,0.443024766713602
minnesota,goodhue,0.4385953815801
minnesota,hennepin,0.460683841029853
minnesota,hubbard,0.436809247548014
minnesota,isanti,0.438463125179213
minnesota,itasca,0.440467578393851
minnesota,kandiyohi,0.448380399640905
minnesota,lyon,0.436879021830373
minnesota,mcleod,0.437911419077327
minnesota,meeker,0.438064483429391
minnesota,mille lacs,0.449052171662092
minnesota,mower,0.444081846680683
minnesota,nobles,0.437844912204738
minnesota,olmsted,0.452454413468371
minnesota,otter tail,0.440434386893121
minnesota,pine,0.43780744002068
minnesota,pipestone,0.436179713943033
minnesota,redwood,0.436605716892831
minnesota,rice,0.440091762874482
minnesota,sherburne,0.445566203502623
minnesota,st louis,0.450167904300908
minnesota,stearns,0.450929970741637
minnesota,wadena,0.438411838422916
minnesota,winona,0.444109107190945
minnesota,wright,0.44013293427187
missouri,bates,0.357265513156003
missouri,cape girardeau,0.373094221411347
missouri,cole,0.37084295953299
missouri,cooper,0.358764204881765
missouri,dunklin,0.359203725110994
missouri,howell,0.359431855395165
missouri,laclede,0.356894778018315
missouri,moniteau,0.359593677665488
missouri,new madrid,0.356440011378941
missouri,nodaway,0.358554262570942
missouri,pettis,0.370205707599445
missouri,phelps,0.368893698190102
missouri,st francois,0.363522919259479
missouri,st louis,0.378261637861438
missouri,st louis city,0.376045346471825
missouri,stoddard,0.357484659263643
missouri,taney,0.359177299016193
new jersey,atlantic,0.49779791024592
new jersey,bergen,0.499473498888528
new jersey,burlington,0.490345483816578
new jersey,cape may,0.491446979582187
new jersey,hudson,0.505134395466036
new jersey,hunterdon,0.49623329688542
new jersey,monmouth,0.494470954291083
new jersey,morris,0.496674755660755
new jersey,ocean,0.485195239440152
new jersey,passaic,0.488317819688782
new jersey,salem,0.48553093149722
new york,bronx,0.524465764458206
new york,broome,0.512274965337196
new york,cattaraugus,0.500734560347284
new york,cayuga,0.517589199009513
new york,chautauqua,0.505677196562987
new york,chemung,0.511076057594973
new york,dutchess,0.520517329883421
new york,genesee,0.505908808491483
new york,herkimer,0.511978788721262
new york,kings,0.526892736154376
new york,new york,0.544338201539735
new york,niagara,0.508219786306669
new york,onondaga,0.512212554814937
new york,ontario,0.507367310840844
new york,oswego,0.498388385800472
new york,otsego,0.517037457796478
new york,queens,0.519543135728692
new york,rensselaer,0.520459934799937
new york,rockland,0.519068630105104
new york,saratoga,0.516707073632549
new york,schenectady,0.52183100554956
new york,schoharie,0.496553157081064
new york,st lawrence,0.503020986890979
new york,steuben,0.502921237781483
new york,tompkins,0.510349699807093
new york,ulster,0.522998274055649
new york,westchester,0.523133895983053
new york,wyoming,0.494348391006732
pennsylvania,allegheny,0.436566794249154
pennsylvania,armstrong,0.414188575332798
pennsylvania,berks,0.435831204567427
pennsylvania,blair,0.435023755129956
pennsylvania,bucks,0.439502790273722
pennsylvania,cambria,0.434172934346787
pennsylvania,centre,0.427206385760913
pennsylvania,clearfield,0.427851404281327
pennsylvania,dauphin,0.437888437767464
pennsylvania,elk,0.419619569326814
pennsylvania,huntingdon,0.420257237005364
pennsylvania,indiana,0.433384461477538
pennsylvania,juniata,0.417487298868267
pennsylvania,lackawanna,0.434249884873973
pennsylvania,lebanon,0.430256585027528
pennsylvania,lehigh,0.436130365381273
pennsylvania,luzerne,0.435364761206054
pennsylvania,lycoming,0.435626602015038
pennsylvania,mifflin,0.423772077559704
pennsylvania,montour,0.4175353227155
pennsylvania,philadelphia,0.440147274434367
pennsylvania,schuylkill,0.416424703005154
pennsylvania,snyder,0.430338103947357
pennsylvania,tioga,0.421764529382619
pennsylvania,venango,0.429570657664813
pennsylvania,wyoming,0.41556574413074
south carolina,aiken,0.38804510988083
south carolina,berkeley,0.3821357963361
south carolina,charleston,0.392237460981684
south carolina,clarendon,0.372583738140343
south carolina,edgefield,0.371174159244842
south carolina,georgetown,0.376286533531307
south carolina,greenville,0.391902978256652
south carolina,greenwood,0.387799287236305
south carolina,horry,0.383358767006872
south carolina,lexington,0.386667263377346
south carolina,orangeburg,0.387285208208703
south carolina,spartanburg,0.392285954558593
texas,andrews,0.392900350258505
texas,angelina,0.416031274768918
texas,atascosa,0.392881012753868
texas,bastrop,0.40242739475653
texas,bell,0.410150828780845
texas,bexar,0.41429344258721
texas,bowie,0.400172596254856
texas,brazoria,0.400395428922785
texas,brazos,0.415401880414192
texas,burnet,0.395373855287334
texas,callahan,0.392109266091359
texas,collin,0.41740994367817
texas,colorado,0.394367985975659
texas,comal,0.400276124559509
texas,cooke,0.393797772907874
texas,coryell,0.39507929594507
texas,denton,0.41216976645484
texas,eastland,0.393450327323502
texas,ector,0.403438086055268
texas,el paso,0.413328166556419
texas,falls,0.394328781692595
texas,fort bend,0.413206332007283
texas,galveston,0.409503428505455
texas,gray,0.393687741147045
texas,gregg,0.408033696534023
texas,grimes,0.393806203992486
texas,hays,0.404093673174802
texas,hockley,0.392280606232836
texas,hood,0.408772212971422
texas,hopkins,0.392852182128275
texas,hunt,0.40302791087498
texas,kaufman,0.39906981527329
texas,kerr,0.394919469130311
texas,kleberg,0.395928376287398
texas,lubbock,0.409328629697338
texas,maverick,0.39642763733316
texas,mclennan,0.409028464180815
texas,midland,0.40844178253542
texas,milam,0.394170890971358
texas,montague,0.392311762516646
texas,nacogdoches,0.39476580288314
texas,navarro,0.404447524280405
texas,nueces,0.403558251540695
texas,panola,0.392901753359203
texas,parker,0.409134998799149
texas,potter,0.39947371704726
texas,randall,0.410890757621385
texas,rockwall,0.414103784796776
texas,san patricio,0.395227830166897
texas,scurry,0.391090380505884
texas,tarrant,0.414209418331235
texas,titus,0.400277429603273
texas,tom green,0.403206504829159
texas,travis,0.414809408996094
texas,val verde,0.402125460886638
texas,van zandt,0.392320737629766
texas,victoria,0.41013755827059
texas,webb,0.412184023492269
texas,wharton,0.395092107289073
texas,wichita,0.406827563025766
texas,wilbarger,0.386263068782882
virginia,hampton,0.464428523218869
virginia,newport news,0.467575682262465
virginia,virginia beach,0.469113071806051
