state,county,forecast
alabama,de kalb,0.681887077053948
arizona,cochise,0.687980895045185
arizona,coconino,0.680903321665002
arizona,maricopa,0.668713700585165
arizona,mohave,0.684354571309939
arizona,navajo,0.678852363438866
arizona,pima,0.656975254669424
arizona,pinal,0.677403861390693
arizona,yavapai,0.679622376792535
arizona,yuma,0.687034073255202
california,alameda,0.663988712955924
california,colusa,0.677808176754113
california,contra costa,0.646725312268606
california,el dorado,0.674446426907724
california,fresno,0.673911620899263
california,imperial,0.690809534932984
california,kern,0.67359280743557
california,kings,0.686068662831155
california,los angeles,0.662841266328403
california,madera,0.66094408543546
california,marin,0.64533951932632
california,mendocino,0.678103784014126
california,merced,0.667758215536078
california,monterey,0.666977566201845
california,napa,0.680140032869945
california,placer,0.664306277798683
california,riverside,0.671885273971005
california,sacramento,0.652248469629697
california,san benito,0.685195298972109
california,san bernardino,0.670278338433175
california,san diego,0.663879312463877
california,san francisco,0.645193925663445
california,san joaquin,0.678821398698755
california,san luis obispo,0.664231236344397
california,san mateo,0.674766540097871
california,santa barbara,0.671533901064997
california,santa clara,0.668689618010917
california,santa cruz,0.678560335853887
california,solano,0.682377064269059
california,sonoma,0.68297297139711
california,stanislaus,0.65798395333976
california,sutter,0.686044406400968
california,tulare,0.662322722396579
california,tuolumne,0.67071188928545
california,ventura,0.669053253579309
california,yolo,0.672814299637758
colorado,alamosa,0.684752551198916
colorado,arapahoe,0.668371831527427
colorado,boulder,0.659100703058209
colorado,broomfield,0.685632588952898
colorado,denver,0.640163141195563
colorado,el paso,0.670287228267904
colorado,la plata,0.675679564801366
colorado,larimer,0.652818314963347
colorado,mesa,0.655194814352725
colorado,montezuma,0.673523594130267
colorado,montrose,0.6560311744205
colorado,pueblo,0.660689538397838
colorado,weld,0.667490855918318
georgia,de kalb,0.659642924044531
illinois,de kalb,0.678205101354094
illinois,du page,0.659791804802399
indiana,bartholomew,0.679191470497829
indiana,daviess,0.670837677849664
indiana,de kalb,0.672496430366953
indiana,dearborn,0.674976428855205
indiana,dubois,0.675494908097379
indiana,elkhart,0.654781702725716
indiana,hendricks,0.672029838405474
indiana,huntington,0.65662152930802
indiana,jennings,0.679612169527028
indiana,kosciusko,0.657637218352754
indiana,la porte,0.665128170361732
indiana,porter,0.67687594636649
indiana,posey,0.674469758394378
indiana,ripley,0.672178612700824
indiana,rush,0.655019864587501
indiana,st joseph,0.663210766096341
indiana,tippecanoe,0.66772388001477
indiana,vanderburgh,0.676000094506508
