state,county,DemRepRatio
new york,erie,0.441151993543994
indiana,clark,0.483306959613567
iowa,dallas,0.650221784130112
utah,salt lake,0.56008985524818
wisconsin,marinette,0.324922805469784
new jersey,warren,0.353587429863496
north carolina,moore,0.350009835420628
ohio,portage,0.462101863599664
north carolina,iredell,0.335863941802613
alabama,montgomery,0.661548508508044
north carolina,new hanover,0.510840432844928
wisconsin,dodge,0.332471960520413
missouri,marion,0.333994537169018
iowa,scott,0.144264955943732
texas,dallas,0.650221784130112
ohio,wood,0.438891328108214
illinois,woodford,0.293907152058781
ohio,champaign,0.554708356026178
pennsylvania,mercer,0.218127381600436
michigan,ottawa,0.335388763013738
ohio,williams,0.217719396310788
oklahoma,noble,0.19525563842214
ohio,union,0.332254391743043
pennsylvania,wayne,0.333849362957795
,chelan,0.459650789880033
virginia,franklin,0.584962310404024
florida,st lucie,0.492121332647045
north carolina,durham,0.816767994942055
tennessee,lincoln,0.273723096494823
,lancaster,0.476716206652512
alabama,clarke,0.629056889316917
,marshall,0.191784766957182
maryland,anne arundel,0.574842671066111
wisconsin,walworth,0.402348163841808
florida,columbia,0.371892459890307
new jersey,gloucester,0.318879069554467
alabama,butler,0.380389602332651
florida,sumter,0.365106251924854
pennsylvania,somerset,0.424949899799599
texas,grayson,0.190352182539682
alabama,st clair,0.449089352658146
new jersey,camden,0.326968727422851
louisiana,lincoln,0.273723096494823
maryland,baltimore city,0.890927379488811
wisconsin,waukesha,0.394247879949157
tennessee,dickson,0.257105562339467
missouri,christian,0.272675808277771
,ada,0.479780128802172
ohio,wayne,0.333849362957795
illinois,macoupin,0.313164384726592
,bingham,0.212369329007674
ohio,lake,0.512388200655519
oklahoma,muskogee,0.326925426628111
louisiana,avoyelles,0.292761803963074
ohio,montgomery,0.661548508508044
tennessee,williamson,0.355859865477461
pennsylvania,westmoreland,0.458396985436399
virginia,arlington,0.82517898826589
,madison,0.414480266994313
indiana,adams,0.269156247161757
,benton,0.370744599563111
,butler,0.380389602332651
oklahoma,seminole,0.50383637401496
north carolina,lincoln,0.273723096494823
louisiana,lafayette,0.352079491907396
kentucky,jefferson,0.486252586841484
north carolina,guilford,0.617326485483986
colorado,jefferson,0.486252586841484
oklahoma,cleveland,0.394864587908066
maryland,charles,0.708501424501426
pennsylvania,butler,0.380389602332651
ohio,greene,0.351351665939182
georgia,muscogee,0.622395636985096
wisconsin,dane,0.767541336637315
alabama,mobile,0.43977046985065
louisiana,caddo,0.512170475295619
minnesota,washington,0.330211272748381
wisconsin,washington,0.330211272748381
alabama,madison,0.414480266994313
,garland,0.325764252910887
wisconsin,fond du lac,0.365411238507685
missouri,boone,0.330716317055978
,windham,0.478199366125307
,franklin,0.584962310404024
indiana,madison,0.414480266994313
wisconsin,oneida,0.39559851755626
michigan,clinton,0.235749833256375
virginia,norfolk,0.685669558411064
tennessee,white,0.188707909162099
pennsylvania,monroe,0.355735505445035
florida,osceola,0.569731287000006
pennsylvania,northampton,0.583693045563549
texas,ellis,0.087567567567567
north carolina,onslow,0.344961901512567
ohio,miami,0.274625661885894
virginia,culpeper,0.398700664688873
illinois,macon,0.407878212058666
florida,sarasota,0.447370381406436
ohio,delaware,0.433723072562358
,natrona,0.252359397650957
,carroll,0.322907432602193
south carolina,florence,0.268016472203157
pennsylvania,montgomery,0.661548508508044
wisconsin,sheboygan,0.418806985010045
,saline,0.283409514644855
ohio,marion,0.333994537169018
florida,manatee,0.419078516218691
,wilkinson,0.437856087782233
,grand forks,0.431245186995681
kentucky,grant,0.344382428940568
minnesota,douglas,0.54360916461977
virginia,albemarle,0.671186976450134
ohio,clermont,0.313743534998435
pennsylvania,lawrence,0.225789487877889
ohio,allen,0.285475968883348
,park,0.315678581807614
maryland,harford,0.438083666030203
texas,hidalgo,0.423571796191457
iowa,polk,0.401649519598674
,cumberland,0.504658832570203
virginia,stafford,0.51674991332931
tennessee,hardin,0.199584670568246
new york,clinton,0.235749833256375
indiana,jasper,0.211556099052278
tennessee,rutherford,0.391633828432858
alabama,shelby,0.544681903348836
north carolina,randolph,0.225881718630895
